# Cosmological parameters
# z 0.0
# name demnunii
# H0 67.0
# Omega_k 0.0
# Omega_b 0.04999999999999999
# Omega_c 0.26999999999999996
# Omega_m 0.31999999999999995
# Omega_de 0.6799068075447904
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.21265e-09
# H_z 67.0
# D_A 0.0
# D_M 0.0
# D_H 4474.514298507463
# D_V 0.0
# r_drag 146.71804187203688
# DM_rd 0.0
# DH_rd 30.497369249311554
# DV_rd 0.0
# sigma8 0.8464806009326422
# fsigma8 0.4501495921255273
# f 0.5317896141146742
# 
# k[h/Mpc]  P_lin(k)[Mpc^3/h^3]
8.372802746460253e-05    378.07180949388993
8.410432627737731e-05    379.7022850402234
8.448231628963195e-05    381.339787166578
8.486200510212304e-05    382.984346103914
8.524340034976718e-05    384.63599218790563
8.562650970179467e-05    386.29475586562705
8.601134086190364e-05    387.96066771381084
8.63979015684148e-05    389.633758439805
8.678619959442732e-05    391.3140588821464
8.717624274797503e-05    393.0016000110981
8.756803887218326e-05    394.6964129292232
8.79615958454268e-05    396.39852887193666
8.835692158148818e-05    398.1079792080639
8.875402402971684e-05    399.8247954404174
8.915291117518899e-05    401.5490092063587
8.955359103886819e-05    403.2806522783638
8.995607167776646e-05    405.0197565646072
9.036036118510661e-05    406.766354109519
9.076646769048483e-05    408.52047709438284
9.117439936003397e-05    410.2821578378975
9.158416439658807e-05    412.0514287967722
9.199577103984718e-05    413.82832256629933
9.240922756654287e-05    415.6128718809498
9.282454229060498e-05    417.40510961496176
9.324172356332862e-05    419.20506878292997
9.366077977354197e-05    421.0127825414084
9.408171934777528e-05    422.82828421050573
9.450455075043017e-05    424.6516072741832
9.492928248394957e-05    426.4827853607831
9.535592308898921e-05    428.32185224279925
9.578448114458899e-05    430.1688418374826
9.621496526834549e-05    432.02378820746145
9.664738411658543e-05    433.88672556136726
9.708174638453975e-05    435.75768825444896
9.75180608065181e-05    437.63671078920726
9.795633615608496e-05    439.5238278160184
9.839658124623582e-05    441.4190741337608
9.883880492957424e-05    443.3224846904659
9.92830160984902e-05    445.23409458393144
9.972922368533873e-05    447.1539390623798
0.00010017743666261937    449.0820535250876
0.00010062766404315693    451.0184735230404
0.00010107991488028257    452.9632347595713
0.00010153419826801566    454.9163730910168
0.00010199052334124693    456.8779245273607
0.00010244889927592209    458.8479252329083
0.00010290933528922614    460.82641152692355
0.00010337184063976903    462.8134198831782
0.0001038364246277716    464.8089868900623
0.0001043030965952526    466.8131492391887
